"curvScale","slopeScale","margLik","DIC"
1,1,14549.4825878899,-29285.6536495019
2,1,14549.8009853759,-29286.2184090459
3,1,14548.0538478346,-29282.6413936928
4,1,14547.3163857491,-29281.1069162935
6,1,14547.8305075838,-29282.0745607889
8,1,14549.2628310948,-29284.956745697
12,1,14555.632843238,-29270.7616095816
16,1,14555.632843238,-29270.7601132845
24,1,14555.6318990731,-29270.7613384687
32,1,14549.3168925942,-29269.0979018303
48,1,14548.7726686579,-29270.7185252633
64,1,14550.1725682887,-29273.3525951585
1,2,14549.8718974161,-29286.5648788684
2,2,14550.1881234982,-29287.1333003006
3,2,14548.3490360257,-29283.3751768572
4,2,14547.4818652136,-29281.5746961336
6,2,14547.8673661943,-29282.2698000649
8,2,14549.3589961158,-29285.2377692936
12,2,14554.8860045213,-29269.2806587715
16,2,14554.8860045213,-29269.2817546669
24,2,14554.8856499696,-29269.2797686242
32,2,14548.5701309818,-29267.6174986258
48,2,14548.0256777171,-29269.2393182562
64,2,14549.4422500356,-29271.9060933731
1,3,14550.296572341,-29287.4992690924
2,3,14550.6100444579,-29288.0799697479
3,3,14548.7343383451,-29284.2562649477
4,3,14547.7999108518,-29282.32281216
6,3,14548.1062643309,-29282.8497369336
8,3,14549.6279368202,-29285.8603530491
12,3,14554.4557598322,-29268.4161472557
16,3,14554.4557598322,-29268.4169411012
24,3,14554.4550130727,-29268.4131892708
32,3,14548.1386296175,-29266.7520386351
48,3,14547.5969976256,-29268.3780521104
64,3,14549.0215997978,-29271.0627665197
1,4,14550.7545467819,-29288.4829032994
2,4,14551.0663102929,-29289.0685494024
3,4,14549.1803608936,-29285.2350276284
4,4,14548.213277369,-29283.244045286
6,4,14548.4730234784,-29283.6713947986
8,4,14550.0076306869,-29286.69618674
12,4,14554.2984821222,-29268.0956869058
16,4,14554.2984821222,-29268.0961226721
24,4,14554.2972130002,-29268.0951778731
32,4,14547.9802074425,-29266.4290858186
48,4,14547.4422045911,-29268.0603697602
64,4,14548.8702449888,-29270.7509195958
1,6,14551.6584524819,-29290.3795855581
2,6,14551.982733437,-29291.0167378502
3,6,14550.0968994153,-29287.2037729656
4,6,14549.0957091031,-29285.1608654028
6,6,14549.2968919719,-29285.4780115676
8,6,14550.8325691481,-29288.4917858044
12,6,14554.3543064551,-29268.1951228222
16,6,14554.3543064551,-29268.1940035755
24,6,14554.3533702714,-29268.1926294613
32,6,14548.034543601,-29266.5221099399
48,6,14547.5037308498,-29268.1690846272
64,6,14548.9348399789,-29270.8706997225
1,8,14552.3144536027,-29291.7609202828
2,8,14552.6529374838,-29292.4336781171
3,8,14550.7709489193,-29288.6428114532
4,8,14549.750981879,-29286.5727617766
6,8,14549.9146493519,-29286.8325460138
8,8,14551.4437211935,-29289.8330515307
12,8,14554.4007649553,-29268.2821530356
16,8,14554.4007649553,-29268.2795070589
24,8,14554.3999280684,-29268.280643568
32,8,14548.0815316211,-29266.6118451784
48,8,14547.5518350288,-29268.2552183594
64,8,14548.993030936,-29270.9792970024
1,12,14552.9838232163,-29293.1924280302
2,12,14553.3114018704,-29293.8509889055
3,12,14551.4504019605,-29290.1178077515
4,12,14550.4305870217,-29288.0653857419
6,12,14550.5801254918,-29288.3225388633
8,12,14552.1103555127,-29291.3319018995
12,12,14554.3089802815,-29268.1072220327
16,12,14554.3089802815,-29268.1049129561
24,12,14554.3080686624,-29268.1050788218
32,12,14547.9962207941,-29266.4479709757
48,12,14547.4497329624,-29268.0576677033
64,12,14548.9346863528,-29270.8719705468
1,16,14553.2046195867,-29293.7213066523
2,16,14553.4964633762,-29294.3073849602
3,16,14551.6796422027,-29290.6665282911
4,16,14550.6902618697,-29288.6776404549
6,16,14550.8669662461,-29289.0023549518
8,16,14552.4009602313,-29292.0302210761
12,16,14554.2609428779,-29268.0499228047
16,16,14554.2609428779,-29268.0481217961
24,16,14554.2600042935,-29268.0487129954
32,16,14547.9599334691,-29266.4161866385
48,16,14547.3791612368,-29267.9564815193
64,16,14548.9266955206,-29270.8944852764
1,24,14552.5694407381,-29292.6223346668
2,24,14552.8288972515,-29293.1427677964
3,24,14551.1202477864,-29289.7170761755
4,24,14550.2122668061,-29287.8933250326
6,24,14550.4492511709,-29288.3391684136
8,24,14551.9612495019,-29291.3172493734
12,24,14553.8967935144,-29267.4469991644
16,24,14553.8967935144,-29267.444693244
24,24,14553.8961766898,-29267.4456214793
32,24,14547.6232876782,-29265.8700719056
48,24,14546.9595567845,-29267.2381970805
64,24,14548.6402257859,-29270.4476889583
1,32,14551.3299873222,-29290.3068976075
2,32,14551.6400588157,-29290.9245521797
3,32,14550.0387508634,-29287.7086922873
4,32,14549.1999372281,-29286.027373497
6,32,14549.4733526315,-29286.5453604183
8,32,14550.9448004803,-29289.4366874592
12,32,14553.4348752481,-29266.661901676
16,32,14553.4348752481,-29266.6571729083
24,32,14553.4344710865,-29266.6562974653
32,32,14547.1984601238,-29265.1535791435
48,32,14546.4469505185,-29266.3486477625
64,32,14548.2359617669,-29269.7771310836
1,48,14550.9965443967,-29289.8687938679
2,48,14551.4878029757,-29290.8416630777
3,48,14550.0681159044,-29287.9945631796
4,48,14549.3325729537,-29286.5145810754
6,48,14549.6454150196,-29287.1190269334
8,48,14551.0586074113,-29289.8984521446
12,48,14554.8115102197,-29269.6195141342
16,48,14554.8115102197,-29269.6206767568
24,48,14554.8105355798,-29269.6199391748
32,48,14548.6018224738,-29268.1690800543
